Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
47668,95,5,0,0,0,0,16,15,14,16,15,18,15,13,16,14,17,16,14,14,16,15,16,14,16,15,16,14,15,17,15,16,0,14,16,14,15,15,13,16,16,13,14,16,14,18,15,14,15,17,18,16,15,15,16,13,14,16,14,0,0,0,0,0
47669,95,5,0,0,0,0,16,17,15,15,16,16,18,18,17,15,14,17,14,18,14,16,14,17,14,15,12,13,12,12,14,14,0,18,18,16,12,15,20,16,16,15,15,17,19,16,13,14,18,20,14,19,18,18,19,17,15,17,14,0,0,0,0,0
47670,95,5,0,0,0,0,8,7,12,8,8,10,10,9,8,8,10,10,8,9,9,9,8,10,9,7,8,9,9,8,8,7,0,8,7,9,10,9,8,10,8,8,8,10,10,10,8,8,11,9,10,9,11,10,12,9,11,8,8,0,0,0,0,0
47671,95,5,0,0,0,0,17,18,19,18,16,16,15,15,17,16,16,17,16,16,16,16,16,15,15,17,16,16,15,16,16,15,0,15,15,17,16,17,16,17,16,18,17,17,17,18,18,18,20,18,18,18,18,18,17,17,18,18,16,0,0,0,0,0
47672,95,5,0,0,0,0,16,15,15,15,14,17,16,16,17,13,15,15,16,15,13,15,16,13,15,14,14,15,16,13,15,16,0,15,17,17,16,15,19,15,14,16,16,19,14,18,17,16,21,15,17,13,15,14,15,14,16,18,12,0,0,0,0,0
47673,95,5,0,0,0,0,17,19,17,17,14,17,17,16,17,18,16,19,16,17,15,16,20,14,17,14,17,18,15,15,15,15,0,16,19,15,18,16,15,14,17,18,16,14,17,17,19,18,20,16,18,18,16,15,18,15,22,19,13,0,0,0,0,0
47674,95,5,0,0,0,0,8,9,6,9,7,7,8,5,7,7,8,8,8,9,9,7,9,7,7,6,6,9,8,8,8,7,0,7,8,8,8,7,7,7,7,9,5,7,8,9,8,6,9,9,8,9,8,10,7,9,9,7,8,0,0,0,0,0
47675,95,5,0,0,0,0,22,19,17,19,20,20,19,20,19,19,18,20,18,19,17,21,17,17,18,17,17,18,17,18,17,19,0,19,17,19,18,18,19,18,18,20,20,20,19,19,20,19,20,19,20,20,19,20,19,20,19,19,19,0,0,0,0,0
47676,95,5,0,0,0,0,21,20,17,21,17,18,19,18,18,17,20,19,18,18,18,18,18,16,17,17,17,17,17,17,15,18,0,18,18,18,19,18,18,19,18,19,20,21,19,19,18,18,19,20,20,21,20,20,19,17,19,18,18,0,0,0,0,0
47677,95,5,0,0,0,0,10,11,10,10,7,9,10,8,8,10,10,9,9,9,9,9,9,7,8,8,9,8,9,9,10,9,0,8,9,9,8,9,8,10,8,9,9,9,9,9,9,9,9,8,9,9,8,9,9,8,8,9,9,0,0,0,0,0
47678,95,5,0,0,0,0,9,9,10,10,10,11,9,11,10,9,10,8,9,9,10,11,9,11,10,9,10,9,10,8,9,9,0,11,10,10,10,10,11,10,10,11,10,11,10,10,10,11,11,11,11,11,12,10,10,10,10,11,11,0,0,0,0,0
47679,95,5,0,0,0,0,17,18,17,17,18,16,17,17,16,16,16,16,17,17,18,15,18,15,16,15,16,17,14,17,17,18,0,16,16,18,17,16,17,17,16,17,16,17,17,18,18,16,19,17,18,18,18,17,19,17,19,17,19,0,0,0,0,0
47680,95,5,0,0,0,0,9,8,7,10,7,7,9,8,7,7,8,9,7,7,8,8,8,7,7,7,8,5,7,7,7,7,0,7,7,7,7,8,8,7,7,7,7,9,7,9,8,7,9,7,8,9,8,8,8,7,7,7,7,0,0,0,0,0
47681,95,5,0,0,0,0,17,19,19,17,18,17,17,17,17,16,18,17,18,17,16,17,18,16,17,16,16,16,16,15,17,17,0,16,17,18,17,16,17,17,15,17,18,19,18,18,17,18,18,18,17,19,17,18,17,16,19,16,16,0,0,0,0,0
47682,95,5,0,0,0,0,16,17,16,19,15,16,16,16,14,16,16,15,16,16,16,15,17,14,16,16,17,15,15,15,15,15,0,16,15,16,16,14,15,15,15,16,17,16,17,15,17,16,17,17,16,16,18,16,16,16,17,16,17,0,0,0,0,0
47683,95,5,0,0,0,0,16,15,15,16,15,16,15,14,15,15,14,15,15,14,14,15,16,14,14,14,15,13,15,13,14,16,0,15,14,15,14,14,15,14,15,16,16,17,16,15,17,16,17,17,17,17,16,15,16,16,16,15,14,0,0,0,0,0
47684,95,5,0,0,0,0,16,17,17,16,16,16,16,15,14,16,16,15,16,16,15,15,14,14,13,15,14,15,15,16,16,16,0,15,17,16,15,16,16,16,17,16,15,16,16,15,18,16,18,17,17,16,16,18,18,16,17,16,17,0,0,0,0,0
47685,95,5,0,0,0,0,20,18,18,20,19,19,20,19,19,18,18,20,18,18,17,18,18,18,18,17,18,17,18,18,16,17,0,18,17,18,17,19,18,20,18,18,19,19,19,18,19,19,21,20,22,19,19,20,17,19,18,18,18,0,0,0,0,0
47686,95,5,0,0,0,0,16,18,17,18,17,18,17,18,18,16,18,18,15,16,16,17,19,16,16,16,16,15,16,16,16,17,0,17,16,17,17,17,18,17,16,17,17,19,17,17,17,18,19,18,19,18,19,18,18,18,18,17,18,0,0,0,0,0
47687,95,5,0,0,0,0,19,21,17,21,18,22,20,23,20,19,20,20,18,20,20,20,19,17,19,18,17,17,17,18,20,19,0,19,18,19,18,19,16,19,19,19,20,21,20,21,19,19,20,21,20,21,21,20,18,18,20,20,20,0,0,0,0,0
