Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
118444,95,5,0,0,0,0,10,10,6,8,9,11,8,9,8,6,8,6,8,6,8,8,6,5,8,7,4,9,5,8,5,7,0,7,7,10,7,6,8,7,8,9,8,8,5,8,9,9,7,7,9,7,7,10,9,9,9,9,8,0,0,0,0,0
118445,95,5,0,0,0,0,13,19,16,20,21,19,17,17,16,19,17,17,17,13,13,14,19,10,13,13,10,12,10,14,13,14,0,13,15,16,14,16,14,14,14,14,10,14,12,9,12,18,16,15,14,16,15,18,14,17,15,14,15,0,0,0,0,0
118446,95,5,0,0,0,0,23,23,23,25,22,23,22,22,22,20,22,22,22,20,19,21,21,18,20,20,19,20,19,20,21,21,0,21,22,22,22,23,22,23,22,22,22,23,23,24,23,25,25,25,25,26,26,25,27,26,26,25,25,0,0,0,0,0
118447,95,5,0,0,0,0,9,8,9,8,8,9,7,9,8,7,8,7,7,8,7,8,7,7,7,7,7,8,7,8,7,8,0,8,7,8,8,8,8,8,8,8,9,9,9,10,9,9,10,9,9,10,9,10,9,9,9,9,10,0,0,0,0,0
118448,95,5,0,0,0,0,10,12,10,10,9,9,9,9,9,9,10,10,10,9,8,9,9,7,8,10,9,8,9,9,9,8,0,9,10,9,8,9,10,10,9,11,11,10,10,10,11,10,12,11,10,11,10,11,12,12,12,12,12,0,0,0,0,0
118449,95,5,0,0,0,0,9,9,11,10,9,9,8,8,7,8,7,7,8,6,7,7,7,8,6,6,7,7,7,7,7,8,0,8,8,7,8,7,8,8,8,8,9,10,7,9,8,9,10,10,10,9,10,11,9,8,11,11,11,0,0,0,0,0
118450,95,5,0,0,0,0,14,14,12,10,12,11,13,11,12,9,11,13,11,10,9,9,10,8,7,10,8,10,10,9,9,11,0,11,10,12,10,11,10,10,10,11,12,13,12,12,13,14,14,14,13,14,13,14,14,14,15,14,15,0,0,0,0,0
118451,95,5,0,0,0,0,7,6,6,8,6,6,5,5,5,5,5,5,5,4,4,5,5,3,5,4,4,5,3,5,5,5,0,5,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,6,6,5,5,6,7,6,5,7,0,0,0,0,0
118452,95,5,0,0,0,0,16,18,14,15,14,16,14,13,14,13,14,13,13,13,12,13,13,11,11,11,10,11,8,9,11,10,0,11,10,11,10,10,11,11,11,11,11,12,10,12,13,11,12,11,13,12,13,13,12,12,14,13,15,0,0,0,0,0
118453,95,5,0,0,0,0,19,20,18,19,19,20,18,19,18,17,19,17,18,15,15,16,15,16,16,14,14,15,13,13,12,14,0,14,12,13,13,12,13,13,13,14,14,14,11,12,13,12,12,13,15,13,12,14,14,11,13,14,13,0,0,0,0,0
118454,95,5,0,0,0,0,19,19,20,20,18,19,17,18,18,18,17,18,17,17,18,16,16,14,15,16,13,14,13,14,14,15,0,13,13,13,14,15,13,13,13,13,13,15,14,12,14,14,13,14,13,13,13,14,13,11,14,11,12,0,0,0,0,0
118455,95,5,0,0,0,0,19,21,21,22,21,21,22,18,17,18,19,17,18,19,18,17,19,15,18,15,16,15,13,16,16,16,0,15,16,15,14,14,15,14,15,14,12,14,13,14,14,13,14,14,15,14,15,14,14,13,14,15,16,0,0,0,0,0
118456,95,5,0,0,0,0,9,10,11,11,11,12,9,11,10,9,10,10,10,10,10,9,9,8,10,8,9,9,7,8,8,8,0,8,7,7,7,7,7,7,7,8,7,8,7,8,9,8,7,8,7,7,8,8,7,7,8,7,8,0,0,0,0,0
118457,95,5,0,0,0,0,19,22,22,22,19,18,21,16,17,18,19,18,15,18,17,17,15,15,17,16,13,13,16,13,12,13,0,13,15,10,13,13,14,13,12,12,12,11,13,12,14,10,7,13,14,13,11,12,12,11,5,10,12,0,0,0,0,0
118458,95,5,0,0,0,0,20,20,18,20,18,20,19,17,18,17,17,18,17,17,16,16,16,14,14,13,14,14,14,13,14,14,0,13,13,12,13,13,13,12,12,13,12,13,12,13,12,13,13,13,13,12,13,13,13,13,12,11,13,0,0,0,0,0
118459,95,5,0,0,0,0,19,19,16,18,16,17,16,17,16,14,16,16,15,13,14,15,14,13,12,12,13,12,12,12,12,13,0,11,12,11,11,10,12,11,10,10,10,10,10,10,11,10,10,11,10,11,11,11,10,11,10,10,10,0,0,0,0,0
118460,95,5,0,0,0,0,18,18,17,17,16,17,16,15,16,15,17,17,14,14,14,16,15,14,13,12,13,12,13,12,12,14,0,12,11,11,11,11,12,13,12,12,12,11,12,11,12,12,13,12,12,12,12,11,10,11,12,12,13,0,0,0,0,0
118461,95,5,0,0,0,0,18,17,17,16,17,15,16,16,15,14,15,15,14,14,12,14,12,13,12,12,12,11,12,13,12,12,0,11,11,9,13,11,12,11,12,12,15,14,12,12,11,12,13,12,11,13,12,12,12,14,14,12,11,0,0,0,0,0
