Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
21440,95,5,0,0,0,0,21,24,27,22,20,29,17,18,25,21,26,21,23,22,24,22,21,19,21,21,20,21,25,18,24,19,0,20,20,23,17,19,21,17,18,17,15,16,15,18,16,16,15,14,16,15,13,16,13,15,14,13,13,0,0,0,0,0
21441,95,5,0,0,0,0,23,25,18,26,22,26,26,24,23,21,24,25,23,23,20,26,25,22,22,25,22,20,21,22,21,21,0,21,20,21,23,19,20,19,17,18,19,19,18,19,16,18,17,17,18,15,15,14,14,15,13,14,14,0,0,0,0,0
21442,95,5,0,0,0,0,23,25,24,24,22,24,24,25,23,22,22,23,23,24,22,24,23,21,24,21,22,22,21,22,22,22,0,21,19,21,18,19,19,20,17,18,19,19,17,16,18,17,18,17,17,17,17,14,14,14,14,12,12,0,0,0,0,0
21443,95,5,0,0,0,0,26,24,21,27,21,26,27,19,24,25,24,24,21,24,20,27,21,23,23,22,22,24,22,22,22,23,0,22,24,19,19,20,21,19,22,19,18,19,20,16,18,17,16,18,16,17,15,15,14,15,16,13,12,0,0,0,0,0
21444,95,5,0,0,0,0,23,22,25,23,23,23,23,22,22,22,22,23,23,22,21,23,23,21,22,21,22,20,21,20,20,21,0,21,17,20,17,18,20,17,17,18,16,17,14,15,14,15,14,16,15,13,15,13,12,11,14,12,12,0,0,0,0,0
21445,95,5,0,0,0,0,25,24,25,22,24,24,24,22,23,22,25,24,24,23,24,24,26,20,21,23,21,23,22,20,23,23,0,20,23,20,20,19,19,21,18,19,17,18,18,16,18,18,16,17,18,15,16,17,13,13,14,13,13,0,0,0,0,0
21446,95,5,0,0,0,0,24,21,23,25,22,22,24,22,23,22,23,23,24,21,21,25,22,21,22,21,21,21,21,21,21,19,0,21,22,21,20,18,20,18,18,18,19,18,17,16,16,16,18,16,17,15,17,16,13,13,13,12,12,0,0,0,0,0
21447,95,5,0,0,0,0,23,24,22,26,24,26,24,22,25,22,23,23,24,24,24,24,25,21,23,22,23,22,21,21,21,21,0,20,20,21,20,20,21,18,18,19,17,18,18,18,19,17,16,17,16,17,15,14,14,14,15,14,13,0,0,0,0,0
21448,95,5,0,0,0,0,23,22,24,22,23,22,23,23,24,23,24,24,22,24,22,22,20,21,23,22,25,19,21,22,22,21,0,21,19,21,20,20,19,20,18,18,18,19,17,15,18,16,19,16,17,17,16,17,14,15,13,13,12,0,0,0,0,0
21449,95,5,0,0,0,0,23,24,24,27,23,23,23,23,24,23,23,24,23,23,23,24,23,20,23,22,22,22,21,22,23,24,0,22,20,23,20,21,22,20,20,19,18,18,17,17,18,17,19,18,17,14,16,14,16,14,15,14,14,0,0,0,0,0
21450,95,5,0,0,0,0,28,24,23,21,24,23,24,23,24,23,26,22,24,23,23,23,23,24,22,22,22,20,21,23,22,20,0,21,21,22,20,18,22,21,18,21,18,20,18,16,17,17,18,18,17,18,16,16,15,15,15,14,14,0,0,0,0,0
21451,95,5,0,0,0,0,24,23,24,24,25,24,25,22,24,24,24,24,23,24,20,26,24,23,22,23,22,22,20,22,23,22,0,22,21,22,22,20,21,21,20,19,18,20,18,19,18,17,19,18,15,17,17,14,16,17,17,12,16,0,0,0,0,0
21452,95,5,0,0,0,0,23,23,28,23,25,22,26,22,28,21,23,26,22,22,20,22,24,22,21,24,23,21,22,22,22,24,0,21,23,20,19,19,20,19,20,19,20,17,17,18,19,17,16,16,17,17,14,14,16,15,14,13,12,0,0,0,0,0
21453,95,5,0,0,0,0,25,21,25,23,21,22,22,23,20,22,22,22,22,23,21,23,22,21,21,23,24,20,20,21,22,21,0,22,21,19,21,19,17,20,17,19,18,18,16,18,16,18,17,17,15,14,12,14,15,13,14,13,12,0,0,0,0,0
21454,95,5,0,0,0,0,22,24,24,26,24,23,23,23,24,23,24,22,24,22,23,24,23,23,23,22,24,21,22,20,22,23,0,22,21,21,20,20,19,21,19,19,19,19,19,18,16,17,18,17,15,15,14,14,13,15,15,13,13,0,0,0,0,0
